date,ttb,tx,tm,r,sh,zn,u%,vx,umin
1/01/1961,14.4,16.1,13.6,-,,,,1,
2/01/1961,15.5,19.3,13.9,-,,,,2,
3/01/1961,17.6,20.4,15,0,,,,3,
4/01/1961,15.3,19.4,14.3,0.2,,,,4,
5/01/1961,14.4,16.2,13,1.4,,,,5,
6/01/1961,12.6,14.1,11.8,0.1,,,,6,
7/01/1961,12.9,15.4,10.7,0,,,,7,
8/01/1961,14.5,15.6,12.9,0.3,,,,8,
9/01/1961,16.5,18.4,14.4,0.9,,,,9,
10/01/1961,18.6,22.6,17,0.6,,,,7,
11/01/1961,15.6,18.6,14.3,0.1,,,,10,
12/01/1961,12.6,15.8,12,-,,,,8,
13/01/1961,11.2,13.2,9.9,-,,,,8,
14/01/1961,12.7,16.2,11,-,,,,6,
15/01/1961,14.1,17.9,10.4,-,,,,2,
16/01/1961,14.4,17.5,13,-,,,,7,
17/01/1961,11.9,18.1,6.9,-,,,,2,
18/01/1961,11.6,18.6,6.4,-,,,,2,
19/01/1961,12.4,18.2,7,-,,,,3,
20/01/1961,15.3,20.3,10.6,-,,,,1,
21/01/1961,16.8,18.7,15.4,-,,,,2,
22/01/1961,18.2,23.4,15.5,-,,,,3,
23/01/1961,18.6,24.8,13.9,-,,,,3,
24/01/1961,18.8,23.1,16.9,0.5,,,,3,
25/01/1961,19.8,25.1,16.8,-,,,,2,
26/01/1961,18,23.1,14.1,-,,,,4,
27/01/1961,18.9,24.3,15,-,,,,4,
28/01/1961,19.7,24,17.6,-,,,,5,
29/01/1961,21,25.5,17.5,-,,,,5,
30/01/1961,19.4,22.6,18.4,0,,,,8,
31/01/1961,14.4,18.4,13.4,1.2,,,,13,
1/02/1961,12.5,14.3,10.9,0.3,,,,3,
2/02/1961,13.5,15.7,12.4,0,,,,2,
3/02/1961,13.6,15.1,12.6,0,,,,1,
4/02/1961,13.6,15.5,12.4,0.5,,,,7,
5/02/1961,15.4,17.7,12.9,0.4,,,,7,
6/02/1961,20.5,26.5,16.7,0.2,,,,10,
7/02/1961,18.5,23.1,17.6,0.7,,,,6,
8/02/1961,15.3,18.2,13.6,0.5,,,,2,
9/02/1961,17,18.6,15.3,0.3,,,,2,
10/02/1961,18.9,20.1,17.6,0.6,,,,3,
11/02/1961,21.4,25.1,18.7,1.1,,,,5,
12/02/1961,17.2,21.6,15.3,2.9,,,,5,
13/02/1961,15.3,16.1,14.2,13.7,,,,5,
14/02/1961,15.4,16.1,15,1.6,,,,8,
15/02/1961,13.5,15.4,12.8,0.4,,,,9,
16/02/1961,11.8,13,10.9,0.8,,,,10,
17/02/1961,12.7,14.2,11.8,-,,,,4,
18/02/1961,14,16.3,12.1,-,,,,4,
19/02/1961,16.5,19.1,13.4,-,,,,2,
20/02/1961,17,18.6,15.5,0.5,,,,3,
21/02/1961,17.1,17.9,16.6,3.2,,,,5,
22/02/1961,15.8,17.7,15.3,0.1,,,,8,
23/02/1961,16.7,20,14.5,0,,,,6,
24/02/1961,17.3,20,15.4,-,,,,5,
25/02/1961,17.4,21.3,15.1,0,,,,6,
26/02/1961,17.7,20.2,15.1,-,,,,3,
27/02/1961,17.6,19.7,15.5,0.4,,,,2,
28/02/1961,18.3,20.7,16.4,0.2,,,,6,
1/03/1961,19.8,22.1,18.4,0.6,,,,4,
2/03/1961,20,21.3,19.1,0.7,,,,6,
3/03/1961,20,21.9,18.9,0.1,,,,2,
4/03/1961,20.4,21.6,19.6,0.1,,,,4,
5/03/1961,21,23.6,19.2,0.2,,,,4,
6/03/1961,22,25.5,20,0.1,,,,3,
7/03/1961,21.1,22.4,20.4,0.5,,,,6,
8/03/1961,21.7,24.7,20,0.6,,,,4,
9/03/1961,15.7,20,14.9,4.2,,,,4,
10/03/1961,15.3,17.1,13.5,1.5,,,,5,
11/03/1961,17.2,20.8,14.2,1.3,,,,8,
12/03/1961,18.5,20.5,16.7,0.2,,,,5,
13/03/1961,20.7,23.8,18.6,2.8,,,,4,
14/03/1961,21.7,23.1,21.4,0,,,,4,
15/03/1961,18.5,21.8,17.7,9.6,,,,4,
16/03/1961,19,23.2,16.8,-,,,,7,
17/03/1961,19.7,22.6,16.9,0,,,,7,
18/03/1961,21.7,23.8,19.5,0.6,,,,5,
19/03/1961,23.5,26.7,21.6,0.2,,,,6,
20/03/1961,24.6,28.3,22.4,0.1,,,,6,
21/03/1961,25.7,29.9,23.3,0,,,,6,
22/03/1961,24.8,27.6,24,0,,,,6,
23/03/1961,23.6,25.5,22.9,1.3,,,,8,
24/03/1961,18.8,22.9,17.7,1.4,,,,6,
25/03/1961,19.8,24.2,16.8,0.5,,,,9,
26/03/1961,20.3,24.5,17.5,-,,,,2,
27/03/1961,18.4,20.7,17.4,0,,,,6,
28/03/1961,18,20.2,16.3,0.8,,,,3,
29/03/1961,18.9,20.1,17.9,0,,,,3,
30/03/1961,18.1,19.5,17.1,0.2,,,,7,
31/03/1961,19.6,22.1,17.4,0,,,,5,
1/04/1961,21,24.6,18.4,0,,,,8,
2/04/1961,22.6,27.5,18,-,,,,5,
3/04/1961,23.4,28.2,20,-,,,,6,
4/04/1961,24.9,29.4,22,-,,,,6,
5/04/1961,25.8,29.5,23.4,0,,,,5,
6/04/1961,23.9,26.2,21.8,0.8,,,,8,
7/04/1961,24.4,28.6,21.9,0.2,,,,5,
8/04/1961,25.2,27.9,24,0,,,,7,
9/04/1961,22.9,25.3,19.7,9.8,,,,7,
10/04/1961,21.1,23.4,18.5,4.6,,,,8,
11/04/1961,23.5,27.1,19.9,11.9,,,,8,
