0,Ttb
1980-01-01,22.6
1980-01-02,22.9
1980-01-03,22.5
1980-01-04,20.4
1980-01-05,15.1
1980-01-06,14.6
1980-01-07,15
1980-01-08,14.9
1980-01-09,16.4
1980-01-10,17.9
1980-01-11,20.4
1980-01-12,21.7
1980-01-13,18.2
1980-01-14,15.6
1980-01-15,14.4
1980-01-16,14.8
1980-01-17,15.5
1980-01-18,15.1
1980-01-19,15
1980-01-20,14.8
1980-01-21,14.1
1980-01-22,14.3
1980-01-23,14.1
1980-01-24,16.6
1980-01-25,19.7
1980-01-26,20.3
1980-01-27,21.4
1980-01-28,22.6
1980-01-29,22.6
1980-01-30,15.4
1980-01-31,11.8
1980-02-01,11.9
1980-02-02,10.9
1980-02-03,11.3
1980-02-04,13.2
1980-02-05,10.8
1980-02-06,10.1
1980-02-07,10
1980-02-08,9.6
1980-02-09,10.5
1980-02-10,11.6
1980-02-11,11.6
1980-02-12,12.2
1980-02-13,13
1980-02-14,12.8
1980-02-15,15.6
1980-02-16,16.2
1980-02-17,17
1980-02-18,17.9
1980-02-19,19.2
1980-02-20,19.5
1980-02-21,19
1980-02-22,17.8
1980-02-23,18.3
1980-02-24,18
1980-02-25,19.4
1980-02-26,21.8
1980-02-27,20.8
1980-02-28,18.5
1980-02-29,20.8
1980-03-01,23.1
1980-03-02,23.1
1980-03-03,23.9
1980-03-04,24.4
1980-03-05,23.6
1980-03-06,22.9
1980-03-07,23.7
1980-03-08,26.4
1980-03-09,24.5
1980-03-10,23.5
1980-03-11,22.6
1980-03-12,23.1
1980-03-13,22
1980-03-14,22
1980-03-15,15.6
1980-03-16,18
1980-03-17,21.5
1980-03-18,22.9
1980-03-19,23.3
1980-03-20,23.9
1980-03-21,24.4
1980-03-22,24.1
1980-03-23,22.7
1980-03-24,21.4
1980-03-25,17.8
1980-03-26,17
1980-03-27,15.7
1980-03-28,17
1980-03-29,20.1
1980-03-30,22.9
1980-03-31,23.8
1980-04-01,17.2
1980-04-02,17.6
1980-04-03,20.4
1980-04-04,23.4
1980-04-05,24.9
1980-04-06,24.7
1980-04-07,25.6
1980-04-08,25.6
1980-04-09,23.2
1980-04-10,21.8
1980-04-11,24.1
1980-04-12,26.3
1980-04-13,27
1980-04-14,21.8
1980-04-15,20
1980-04-16,20.9
1980-04-17,21.7
1980-04-18,22.4
1980-04-19,25.2
1980-04-20,26
1980-04-21,27
1980-04-22,27.6
1980-04-23,28
1980-04-24,28
1980-04-25,22.8
1980-04-26,20.1
1980-04-27,20.5
1980-04-28,24.5
1980-04-29,27
1980-04-30,27.3
1980-05-01,26.8
1980-05-02,26.8
1980-05-03,27.3
1980-05-04,25.1
1980-05-05,24.2
1980-05-06,24.7
1980-05-07,27.4
1980-05-08,25
1980-05-09,25.4
1980-05-10,25.4
1980-05-11,27.3
1980-05-12,27.7
1980-05-13,29.1
1980-05-14,29.4
1980-05-15,28.4
